,question,answer
171,Как то так?,"Почти Тут не важно, сколько чисел будет в строке, поэтому не нужно каждое записывать в переменную Нужно отсортировать список а, потом вывести второй элемент отсортированного списка а Получилось?"
172,что то не так делаю снова....,Тут не нужна конструкция if Можно сделать проще a=a.sort() print(a[1])
173,будет ошибка,"Ой, метод sort же ничего не возвращает Тогда просто a.sort() в первой строке"
174,"да, теперь получилось)) задача все таки не сложная, это я ее усложнила и пришла в ступор) спасибо за помощь!","Бывает, иногда полезно воспользоваться методом уточки: ставите перед собой резиновую уточку и объясняете ей условие задачи так, будто уточка никогда ничего не знала о задаче и программировании) Обычно помогает найти более простой подход к решению"
175,"Интересное решение)) Добрый вечер! Подскажите, а куда нажать, чтобы вывести число? Run в панели правой кнопки что то не помогает…",Добрый вечер! А что написано в вашем коде? Там присутствует вызов функции print()?
176,Задание 2 из 5 Что выведет программа? a = 3 while a>0: a-=1 print(a) Да,"На самом деле, цель этого задания состоит в другом: было бы здорово, если бы Вы самостоятельно попробовали предположить, чтобы выведет данная программа. Для начала, чтобы Вам было проще, можно попробовать просчитать самостоятельно на листочке бумаги. Предположить, что программа запускается, и записать все действия, которые она проделает, для того, чтобы получить результат. Но если Вы всё же хотите запустить, попробуйте ещё раз повоевать со средой разработки. Возможно, стоит нажать правой кнопкой мыши на поле и в появившемся меню выбрать Run"
177,"Добрый день! Помогите с этой задачей. Не понимаю, что от меня хочет прога... Задание 1 из 5 Условие Пользователь вводит два числа в одной строке. Напишите программу, которая выводит все числа в промежутке от первого числа до второго (включительно) через пробел Входные данные 2 65 Выходные данные 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 Да, спасибо) Теперь я поняла) Поможете?","Да, конечно! Извините, что долгое время не могли вам ответить, сегодня загруженность большая, в течении часа обязательно ответим вам! Сегодня прям все активизировались 😅"
178,буквально секунду назад я сама решила стоило чуть больше подумать поняла где я ошибалась),"Это очень здорово, что вы смогли проанализировать свой код и найти ошибку, навык, без которого в программировании никуда! Ещё раз приносим свои извинения за столь долгое ожидание, впредь постараемся не допускать такого"
179,"Да, для этого мне просто нужно больше времени. Которого иногда нет, так как я совмещаю работу с учебой) Хорошо, спасибо) Добрый день! скажите где у меня чего то не хватает в коде, не понимаю как вывести последнее число Задание 4 из 5 Условие Пользователь вводит два числа в одной строке. Напишите программу, которая выводит все нечетные числа в промежутке от первого числа до второго (включительно) через пробел Входные данные 9 47 Выходные данные 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 выводит правильно, но последнее число не выводит(","Добрый день! Видим, что написано уже хорошо. Давайте лишь подумаем об условии: нам нужно вывести только нечетные числа. А как мы можем проверить, что число является нечетным?"
180,"ааа, при делении на 2 число будет четным а если на 1, то нечет","Да-да, если мы будем делить на 2 и проверять остаток от деления. Если остатка нет, то это четное число, а если есть - нечетное. Всё верно говорите"
181,но если списать в конце a+=1 он будет выдавать числа последовательно,"Он будет выдавать числа последовательно, но у вас же есть условие, которое будет брать лишь нечетные И это будет правильный вариант"
182,"да, но мне не выдает последнее число, даже когда я пытаюсь вывести четные что то не получается..","Вот дело в том, что вы увеличиваете а сразу же на 2. Ведь если мы действительно введем промежуток, где а будет четным числом, например, 4, как в вашем примере, и будем при этом а постоянно увеличивать на 2, мы никогда не Доберемся до нечетного числа Это первое А во-вторых, мы же уже поняли, что нам нужно делить на 2, чтобы узнать, является ли число нечетным. А значит, условие должно выглядеть иначе: if a % 2 == 1:"
183,"даа!1 я там меняла числа, но совсем забыла про операторов спасибо!","Отлично! Очень рады за вас, здорово, что вы так глубоко вникаете и понимаете!"
184,"Да) Я просто очень хочу заниматься этим , по этому серьезно отношусь к учебе) сложная задачка( Задание 5 из 5 Условие Пользователь вводит три числа в одной строке. Напишите программу, которая выводит все числа,кратные третьему, в промежутке от первого числа до второго (включительно) через пробел Входные данные 87 867 5 Выходные данные 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 180 185 190 195 200 205 210 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285 290 295 300 305 310 315 320 325 330 335 340 345 350 355 360 365 370 375 380 385 390 395 400 405 410 415 420 425 430 435 440 445 450 455 460 465 470 475 480 485 490 495 500 505 510 515 520 525 530 535 540 545 550 555 560 565 570 575 580 585 590 595 600 605 610 615 620 625 630 635 640 645 650 655 660 665 670 675 680 685 690 695 700 705 710 715 720 725 730 735 740 745 750 755 760 765 770 775 780 785 790 795 800 805 810 815 820 825 830 835 840 845 850 855 860 865 не понимаю как вывести 3 число с в while надо его как то записать. Может while a <= b <= c: ? но мне кажется это не совсем правильно","По условию в цикле while у Вас все верно, ошибка в изменении переменой a. Надо не a += c, вместо него a += 1 И условие a % b != 0 лишнее Остальное все верно"
185,"ааа ну точно! я же пытаюсь не найти числа кратные и не кратные какому либо числу, а просто привожу кратные числа третьему числу чуток запуталась))😅 спасибо)☺️","Ничего страшного, если будут вопросы, мы на связи)"
186,"Хорошо)) добрый вечер! помогите с задачей, не понимаю, почему после нуля он не хочет ее выводить Задание 1 из 7 Условие Программа получает на вход последовательность целых чисел, каждое число записано в отдельной строке. Последовательность завершается числом 0, при считывании которого программа должна закончить ввод и вывести количество элементов последовательности (не считая 0) Входные данные 92 805 542 438 331 53 0 Выходные данные 6","Добрый день! У Вас в данной задачи используется считывание переменных с одной строки через проблем. То есть когда, к примеру 92 805 542 438 … А в данной задаче требуется считывать каждое число по отдельности. Здесь потребуется в цикле каждый раз считывать переменную: a = int(input()) cnt = 0 while a != 0: cnt += 1 a = int(input()) print(cnt)"
187,"Ааа то есть тут не нужена строчка list(map(int, input()). Split())) ?","Нет, не нужна)"
188,"добрый вечер! подскажите пожалуйста, в чем может быть ошибка? Задание 2 из 7 Условие Программа получает на вход последовательность целых чисел, каждое число записано в отдельной строке. Последовательность завершается числом 0, при считывании которого программа должна закончить ввод и вывести количество четных элементов последовательности (не считая 0) Входные данные 119 509 815 334 0 Выходные данные 1 я уже не раз замечаю, что бот не принимает мои решения, которые могут быть по другому решены, но в пайчарм я вывожу разные варианты цифр","Добрый вечер! Вот пример теста, который у Вас не проходит программа Обратите внимание, что программа забывает про первую цифру, которую вводит пользователь. Программа входит в цикл while и сразу считывает вторую. В данном случае считывание новой переменной a = int(input()) лучше указать в самом конце цикла"
189,"да, теперь поняла) спасибо)) добрый день1 Скажите, как мне написать прогу которая выдает именно саму переменную? Задание 4 из 7 Условие Программа получает на вход последовательность целых чисел, каждое число записано в отдельной строке. Последовательность завершается числом 0, при считывании которого программа должна закончить ввод и вывести максимальное число (не считая 0) Входные данные 611 603 0 Выходные данные 611","Добрый день! В данной задачи нужно найти максимальное число. Поэтому здесь потребуется создать отдельную переменную, где это значение будет хранится, допустим, это будет переменная max_num . В самом начале, допустим, эта переменная будет хранить занчение a max_num = a Далее, после считываения новой переменной в цилке, нужно сравнивать значение считанной переменной со занчением в переменной max_num . Если считанное значение больше, то в max_num кладем считанное значение if a > max_num: max_num = a А строка a += 1 лишняя здесь. И выводить, соответсвенно, также нужно будет переменную max_num ."
190,"с разными цифрами вывожу и все нормально, а вот бот отрицает","Условие в цикле while надо бы поменять на a!=0, и max_num не должен считаться изначально, а должен быть просто равен а"
191,"да, я поняла теперь где ошибалась) спасибо большое! Добрый день! Задание 1 из 6 Условие Пользователь вводит числа через пробел. Выведите введенные числа через пробел, пока не встретите ноль Входные данные 768 -506 690 -105 -980 838 0 940 924 293 353 361 Выходные данные 768 -506 690 -105 -980 838 что я делаю не так?","Добрый день! В данной задачи числа вводятся в в одну строчку, поэтому потребуется, чтобы считать данный, использовать команду a = list(map(int, input().split())) И также воспользоваться циклом for Также команда break пишется без print(), а просто break"
192,не получается(,"Все числа у вас вводятся в список n, больше считывать не нужно А в цикле for необходимо пройти по всем элементам списка n: for i in n — здесь у вас i будет каждым элементом по очереди И уже i надо проверять на равенство нулю Не забудьте указать параметр end=‘ ‘ в функции print, чтобы не переносить переменные на новую строку"
193,что значит: в цикле for пройти по всем элементам списка? типо: for i in n: n = i ?,"Да, почти) for i in n: n = i не нужно И дальше на равентсво 0 надо будет проверять i, то есть for i in n: if i == 0: .... else: .... Вместо точек требуется дописать код) В одном случае команду break , в другому - печатать занчение i в консоль"
194,сейчас попробую,Ждем новостей)
195,не выходит. я не знаю как ее решить.,"Вы почти у цели. Команда break остановит и выйдет из цикла, поэтому надо её указать, когда встретиться 0, то есть когда i = 0 . А в остальных случаях - только выводить значение в консоль через команду print(i, end = "" "") (без break) n = list(map(int, input().split())) for i in n: if i == 0: break else: print(i, end="" "")"
196,"ааа, я понялааа! я не туда поставила брейк спасибо! теперь получилось)","Даааа, все верно) Отлично! Желаем успехов в решении следующих задач. Мы всегда на связи)"
197,"добрый день! какую функцию мне нужно применить, чтобы числа вышли в столбик? Задание 2 из 6 Условие Пользователь вводит числа с новой строки. Выведите введенные числа через пробел, пока не встретите ноль Входные данные -9 8 5 0 Выходные данные -9 8 5","Добрый день! При выводе числе в функции print нужно указать параметр end=‘ ‘ print(ваше_число, end=‘ ‘)"
198,не получается.,"Добрый день! В данном случае требуется делать break, если к i == 0"
199,он мне вре равно только 1 число дает ввести,А Вы вводите числа в одну строку?
200,с новой строки надо вводить чтобы они сами вывелись в одну строку,"Все верно, прошу прощения, в данном случае тогда строка num = list(map(int, input().split())) не подойдет, здесь потребуется использовать int(input()) Сейчас у Вас какая тема?"
201,цикл for я сначала тоже так думала,И оставить команду break)
202,"он мне выдает ошибку, потому что num не читает",Так как num это число. Сейчас вышлю Вам подсказку
203,может cnt = 0 ?,"Прошу прощения за долгий ответ. Я уточнил информацию, данная задача на тему 'break', поэтому здесь можно использовать как цикл for, так и цикл while. В данной задачи for использовать будет бессмысленно, так как нам не известно количество цифр в строке. Попробуйте использовать цикл while. Он подойдет здесь больше, так как мы знаем условие остановки цикла while True: num = int(input()) if num == 0: break else: ..."
204,не выходит.,"Мы делаем break, если считанное число равно 0"
205,а почему мы пишем тру в while?,"Здесь можно написать так, как написали Вы, или написать бесконечный цикл. True означает, что цикл повторяется бесконечное количество раз. И в нужный момент мы его останавливаем командой break И не забывайте внутри цикла каждый раз считывать само число"
206,"и почему переменная num не с самого начала, а на 2 строке?? аааа","Чтобы не прописывать несколько раз, я сразу закинул в цикл и использовал True. Такой подход тоже используется"
207,у меня просто тупо -9 бесконечно раз прописывается,Вышлите Ваш код)
208,"то есть обязательно num = int(input)) должен быть вписан в цикл, а не как у меня в начале самом? не выдает ничего даже так..","Да, все верно, так как нам надо считывать ни одно число, а много, поэтому в цикле Можете подсказать, бот не выдает? Или в консоле про запуске программы?"
209,в консоле он просто следом пишет это же число и ошибку когда вписала в цикл это,"Да, все верно, так и должно быть, что в консоле следом пишет это же число. Потому что как только Вы считали число, то сразу вывели результат. И дальше он ждет следующее число Но проверяющая система в боте сначала «моментально» закинет все входные данные, а только потом проанализирует все выходные данные"
210,"аааа не хочет так почему скопированный код бот принял, а сам пучарм нет??","Потому скорей всего при вводе данных Вы нажали enter, он считал и попытался перевести в число, но этого сделать не смог, так как там не число. А бот подставляет все числа в корректном формате)"
211,ну а как тогда я на другую строку спущусь и напишу следующее число?,"Необязательно спускаться, нужно писать рядом и тогда PyCharm считает верно"
212,"что писать рядом? написано в задаче: "" пользователь вводит числа с новой строки"". новая строка - энтер. всегда так делала с другими задачами и все работало. может есть другой способ писать с новой строки о котором я не знаю?","Ранее Вам никогда не приходилось выводить числа в цикле и заново считывать их. В данном примере, введя одно число, Вы нажимаете ""enter"", там самым переходите на новую строку (что вас и просят в задачи). Далее программа выводит число и просит новое. Вы уже перешли на новую строку, и Вам не нужно делать это повторно и нажимать ""enter"". Вы просто вбиваете новое значение, так как уже находитесь на новой строке, и нажимаете только тогда ""enter"", чтобы программа взяла это число в работу Вот так будет выглядеть консоль, после ввода всех значений, как в условии"
213,🤦🏼 Вообще про это на уроках не было Даже в инете инфу не могла найти что ТАК можно делать Спасибо за объяснение,"Это не является каким-либо отдельным приемом. Это следствие работы команды input(), если поместить её в цикл вместе с print() Надеюсь, смог донести суть данной программы. Если остались ещё вопросы, с радостью готов буду на них ответить"
214,"да, это помогло) спасибо) на самом деле я чуток продвинулась дальше по задачам есть небольшие трудности Задание 4 из 6 Условие Программа получает на вход последовательность целых чисел, каждое число записано в отдельной строке. Последовательность завершается числом 0, при считывании которого программа должна закончить ввод и вывести произведение введенных чисел (не считая 0) Входные данные 2 -4 2 6 -6 1 4 -9 -10 8 5 0 Выходные данные 8294400","Добрый вечер! В данной задаче потребуется все также использовать цикл while True . Условие выхода из цикла все также будет a == 0 . Единственное, здесь cnt потребуется в самом начале присвоить не 0, а 1 (так как если * на 0, то получится всегда 0). И внутри else указывать cnt *= n То есть требуется перемножить все числа. И также обратите внимание на ввод (print). Он должен быть за циклом"
215,"спасибо! очень помогли) теперь я всё поняла) добрый вечер! Не могу понять как мне уменьшить число в середине. я пробовала разными способами. оставила код таким какой он сейчас Задание 5 из 6 Условие Пользователь вводит числа через пробел. С этой последовательностью проводят следующие оперции: первое число складывают со вторым, из результата вычитают третье, потом еще раз складывают со следующим и так до конца. Выведите результат выражения. Например, в программу подаются числа 10, 3, 4 ,9. Результатом выражения будет 10+3-4+9=18 Входные данные 10 3 4 9 Выходные данные 18","Добрый вечер! Вам в цикле нужно еще вычитание добавить Тут нужно немного добавить кода в логику решения, но в целом макет решения у вас уже правильный Можно в цикле проходиться не по самим элементам, а получать их значения по индексу А уже индекс элемента будет влиять на операцию: вычитаем или складываем с предыдущим результатом"
216,Добрый день. Хочу заморозить подписку,"Добрый день, Максим😉 Вчера мы заморозили вашу подписку, сообщите как будете готовы приступить к занятиям. Помимо этого вы также можете задавать сюда любые вопросы, касаемо платформы и затруднений в заданиях, наши менеджеры и преподаватели ответят вам в течении часа. Желаем успеха!) Помимо этого, готовы провести для вас абсолютно бесплатно индивидуальное занятие в удобное для вас время, где подробнее покажем и расскажем о всем функционале нашей платформы, а также определим индивидуальный план обучения под ваши цели и задачи🎯"
217,"Добрый день. Конечно, спасибо. Здравствуйте! Пока добрался до бесплатных тестов. В 3-м тесте вводных чисел через консоль выводится все правильно, но ответ не правильный. Хочу понять, как правильно написать программу.",Здравствуйте! А можете пожалуйста скинуть условие задачи?
218,"Условие Пользователь вводит три целых числа. Напиши программу, которая будет определять, что больше – сумма первых двух чисел или сумма последних двух чисел. Программа должна вывести в консоль наибольшую сумму. Входные данные 1 2 3 Выходные данные 5","суммы чисел могут быть равны первому или третьему числу, а у вас строгие условия попробуйте добавить знак равно к сравнению😊 а лучше вообще обойтись одним if-ом и использовать в нем else получилось?"
219,Пока не сообразил. Взял паузу.,"Если возникнут вопросы, мы всегда рады помочь"
220,"Конечно. Спасибо. Я уже не представляю какие задания будут в размороженной услуге, если на бесплатных уже нужно включать логику)","Глаза боятся, руки делают, через две недели практики вам это будет казаться совершенно простым заданием)"
221,"Чтобы Вам было понятнее. спустя 12 лет работы в охранной деятельности, не по своей специальности, мне пришлось вспоминать, как делить столбиком, чтобы выполнить первые задания. 😄 Поэтому и просил заморозить. Не так много времени, чтобы пока заниматься изучением программирования. Кроме этого еще много всего нужно успеть.","Понимаем, поэтому идем вам на встречу) Конечно, вы всегда нам можете написать и заморозить подписку на неопределенный срок)"
222,Ну я вроде ее еще не размораживал),"Да, всё верно) Это мы вам на будущее говорим, чтобы вы не переживали поэтому поводу😉"
223,Да. За это отдельно большое спасибо. по сути написано правильно. По логике. И данные выдает. Но бот не принимает.,"нужно сравнивать две суммы, тоесть после знака > нужно написать еще и сумму Здравствуйте! Как у вас успехи?"
224,Здравствуйте. Пока работаю. А с крайним заданием пока не разобрался. Мало осведомленности.,"Хорошо, тогда как у вас появится свободное время для занятий, объясним и поможем вам с последним заданием. Будем ждать вас, Максим!)"
225,Думаю сейчас можно Только сек. Я на рабочем ноуте. Надо установить питон,"Хорошо, сейчас с вами свяжется наш специалист и подробно всё объяснит"
226,"Когда первый раз выполнял задания. Немного сбился с толку, сейчас повторяю. Снова чуть застопорился. Т.к. в первом пункте ""НЕ"" обозначено кавычками, а ""или"" без кавычек, поэтому сначала взял во внимание ""И"" которое в скобках.","Возьмем в работу, спасибо😊"
227,"здесь тоже, как бы все понятно, но угол ноута закрывает часть информации в консоли)","Хорошо, обязательно учтем и исправим) Максим, так понимаем, вы уже перешли в материалы по подписке"
228,Сейчас гляну. Мне пока не размораживали. Только просматривали.,"Хорошо, но у нас в системе вы уже проходите платную программу, поэтому всё это учитывается"
229,это уже платно? вот. сейчас только закончил этот тест. и сейчас начал Пайтон начальный. а у меня наверное уже день прошел да,"Да, всё верно, это уже платный модуль по подписке"
230,"ну сейчас я вижу, но на тот момент когда вы мне написали, я еще последне задание не доделал.","Хорошо, ничего страшного, вы когда планируете приступать к занятиям?"
231,"ну как видите уже приступил. Я же не думал, что уже платное началось. Не хочу просто так терять оплачиваемое время. когда закончится подписка. у меня останется доступ к уже пройденному материалу?","Да, останется Весь материал будет доступен вам"
232,отлично.,"Поэтому решаете по мере возможности, тем более у вас самый экономный тариф PILOT, поэтому ничего страшного, опробуете"
233,"здесь тоже все закрывает. Если правильно понял там должно быть ' строка ""привет"" '","Да, все верно"
234,Здравствуйте! Рафаил пока занят. здесь для меня очень сложно уже.,Добрый вечер! На самом деле суть задания проста — возвести двойку в степень количества подбрасываний 2**n
235,про степень я подумал. но не додумался как это реализовать.,"Можно расписать на бумажке, чтобы убедиться Советуем всегда при решении задач иметь под рукой бумажку и ручку😊"
236,"это есть. иногда и записываю сложные примеры. как уже понимаю, сложность программирования у меня будет заключаться в решении задач, с чем я не очень дружу. Почему 2 возводим? Потому что учитываются 2 стороны монеты орел и решка?","Абсолютно верно) Орел и решка, две стороны"
237,я пока код не вводил в бот. здесь правильно будет n = int(input()) print(n**2) или n = int(input()) print(n*n),Да
238,по сути то это одно и тоже. я это решил методом подбора. мне нужно пояснение.,шанс выпадения решки после подбрасывания монетки 0.5 или 1/2 шанс выпадения 2х решек после подбрасывания монетки дважды 0.25 или 1/4 шанс выпадения 3х решек после подбрасывания монетки трижды 0.125 или 1/8 получается 0.5**n но математически 2**-n = (1/2)**n поэтому ваша формула тоже сработала
239,"немного с первым моментом. почему 0,5? 1 монету делим на 2 стороны?","у монеты две стороны шанс выпадения орла - 50%, решки тоже 50%, это то же самое, что и 0.5"
240,это я понял. Благодарю. Здравствуйте. Заморозьте пока. Возьму паузу.,На какой срок?
241,Вы просто заморозьте. Я напишу как продолжу. Точно не могу сказать.,"Хорошо, Максим, с завтрашнего дня у вас действует заморозка"
242,"хорошо. спасибо. Приветствую. Переразбирал задачи. С високосным годом не понятно. откуда 100? Почему не кратно ему и откуда 400 и так же почему ему кратно? По логике 4*100, но не ясно про кратность этим числам. суть немного ясна. Но хочется более простого и детального объяснения.","Добрый день, Максим! Постараемся объяснить максимально просто и подробно. Високосный год добавляет дополнительный день к обычному году, который состоит из 365 дней. Этот дополнительный день добавляется 29 февраля. Теперь давайте разберемся, как определяется високосный год. Високосный год определяется следующим образом: Год делится на 4 без остатка. Например, 2020 делится на 4 без остатка (2020 ÷ 4 = 505). Однако есть исключение: если год делится на 100 без остатка, то он не является високосным, если год также делится на 400 без остатка, тогда он все-таки считается високосным. Итак, давайте разберем примеры: Год 2000: Делится на 4 (2000 ÷ 4 = 500), делится на 100 (2000 ÷ 100 = 20), и также делится на 400 (2000 ÷ 400 = 5). Поэтому 2000 - високосный год. Год 1900: Делится на 4 (1900 ÷ 4 = 475), делится на 100 (1900 ÷ 100 = 19), но не делится на 400 (1900 ÷ 400 = 4.75). Поэтому 1900 - не високосный год. Итак, 100 - это число, которое используется для определения високосных лет, чтобы исключить некоторые годы, которые иначе были бы високосными. Это делается для более точного выравнивания календаря с солнечным годом."
243,завтра тогда разморозьте. Попробую продолжить.,Хорошо
244,"Здравствуйте. не мог разобраться с задачей Задание 7 из 10 Условие На вход в консоль подаются три числа, каждое с новой строки. Выведите наибольшее число Входные данные 272541 595922 607270 Выходные данные 607270 разобрался только с гуглом a=int(input()) b=int(input()) c=int(input()) print(max(a,b,c)) опять же, примеров с максимумами не было. как решить иначе, знаками сравнения? Из того, что я изучил в боте до этого момента.",Добрый день! В задаче про максимум из трех чисел нужно рассмотреть возможные варианты с использованием оператора if
245,я пробовал. но не смог подобрать правильно формулу.,В таком случае лучше взять ручку и листок бумаги. Затем рассмотреть и выписать все варианты исходов
246,я как раз и конспектирую все),Лучше для решения задач иметь отдельный черновик) вот один из возможных вариантов
247,данная программа работает. но примет ли ее бот.,Лучше использовать нестрогие неравенства и конструкцию elif При значениях 1 1 1 ничего не выведет
248,"с элифом пока не получилось сообразить. и в место последнего блока хотел применить else print(c), но не сработало.","Потому что нужен первый if, потом elif и в конце else"
249,"если применяется оператор elif, то if применяется только один?",вот лучше посмотрите еще раз материал к уроку Elif применяется только к одному if Но у одного if может быть несколько elif
250,"логика and может применяться в этих условиях? a=int(input()) b=int(input()) c=int(input()) if a>=b and a>=c: print(a) elif b>=a and b>=c: print(b) else: print(c) в данном случае код тоже работает,","Да, все верно Код работает корректно 👍"
251,Благодарю. сколько у меня по времени осталось период обучения?,У Вас осталась неделя. Более точную информацию Вы можете увидеть в самом низу страницы «статистика» в боте
252,"Спасибо. Задание 6 из 10 Условие На вход в консоль подается одно четырехзначное число. Число является крутым, если произведение первых двух цифр кратно разности двух последних цифр. Выведите 1, если число крутое, или 0 иначе Входные данные 6814 Выходные данные 1 a = int(input()) n1 = a % 10 a = a // 10 n2 = a % 10 a = a // 10 n3 = a % 10 a = a // 10 n4 = a % 10 a = a // 10 if (n1 * n2) % (n3 - n4) == 0: print(1) else: print(0) не совсем понятно, как правильно составить условие кратно, значит левая часть должна нацело делиться на правую часть. 6*8=48. 1-4=-3. 48/(-3)=-16 Остатка нет. число со знаком минус.",Вы абсолютно правы) Что именно вызывает сомнения?
